Name,Count,Rank
Adam,647,9
Adrian,442,28
Albin ,321,46
Alexander ,626,10
Alfred,502,15
Ali,150,94
Alvin,218,73
Amir,151,93
Anton,214,74
Aron,230,69
Arvid ,463,24
August,400,32
Axel ,536,12
Benjamin,407,31
Carl,249,62
Casper ,260,60
Charlie ,493,19
Colin,267,59
Daniel ,163,90
David ,170,85
Ebbe,368,37
Edvin ,367,38
Elias,697,7
Elis ,178,81
Elliot,467,23
Elton,302,51
Elvin,171,84
Emil,301,52
Erik ,314,49
Felix,226,71
Filip,472,22
Folke,153,91
Frank,326,44
Frans,315,47
Gabriel,485,21
Gustav ,351,41
Harry,456,26
Henry,315,47
Hjalmar,176,83
Hugo,683,8
Isak ,463,24
Ivar,210,75
Jack,299,53
Jacob,296,55
Joel,168,87
John ,179,80
Jonathan,170,85
Josef ,378,35
Julian,224,72
Kevin,190,77
Kian,188,79
Leo,524,13
Leon ,498,17
Levi,177,82
Liam ,834,2
Lias,141,100
Loke ,248,63
Loui,355,39
Love,322,45
Lucas,723,4
Ludvig ,498,17
Malte,348,42
Matteo,447,27
Max ,237,66
Maximilian ,144,99
Melker,295,56
Melvin,416,29
Milian,147,96
Milo,285,58
Milton,230,69
Mohamed,398,33
Nicolas,190,77
Nils ,505,14
Noah,730,3
Noel ,297,54
Oliver ,714,5
Olle ,378,35
Omar,146,98
Oscar,704,6
Otto,256,61
Sam,352,40
Samuel ,195,76
Sigge,235,67
Sixten ,330,43
Tage,247,64
Theo ,492,20
Theodor,409,30
Thor,147,96
Ture,153,91
Walter,543,11
Vidar,295,56
Vide,150,94
Viggo ,304,50
Viktor,388,34
Vilgot,165,89
Wilhelm,231,68
Ville,167,88
William ,863,1
Wilmer ,247,64
Vincent,501,16
