address,price,list_fee,sold_date,sqm,rooms,elevator,patio,new_production,balcony,gardet,kungsholmen,norrmalm,ostermalm,sodermalm,vasastan
"Settergatan 14, Vån 5 / 10",7500000,4312.0,2023-04-12,71.0,3.0,1,0,0,1,1,0,0,0,0,0
"Heimdalsgatan 5, 3tr",14200000,4755.0,2023-04-12,103.0,5.0,1,0,0,1,0,0,0,0,0,1
"Bellmansgatan 21, 3 tr",10400000,3760.0,2023-04-12,83.0,3.0,0,0,0,1,0,0,0,0,1,0
"Gumshornsgatan 7, 4 tr",3900000,1975.0,2023-04-12,28.5,1.0,1,0,0,1,0,0,0,1,0,0
"Bondegatan 46, 5tr",2750000,1206.0,2023-04-12,21.0,1.0,1,0,0,1,0,0,0,0,1,0
Artillerigatan 72B,6725000,3520.0,2023-04-12,66.0,3.0,1,0,0,1,0,0,0,1,0,0
Grubbensringen 9,5700000,5553.0,2023-04-12,72.0,2.0,1,0,0,0,0,1,0,0,0,0
Igeldammsgatan 22 A,7975000,4558.0,2023-04-12,83.0,3.0,1,0,0,0,0,1,0,0,0,0
Lilla Västerbron 10,7200000,4284.0,2023-04-12,85.5,3.0,0,0,0,1,0,1,0,0,0,0
"Blecktornsstigen 9, 2 tr",8150000,4634.0,2023-04-12,75.0,3.0,0,0,0,0,0,0,0,0,1,0
Fridhemsgatan 55,5200000,1965.0,2023-04-12,43.0,2.0,1,0,0,1,0,1,0,0,0,0
"Tomtebogatan 3A, 4tr",5500000,1125.0,2023-04-12,40.0,2.0,1,0,0,1,0,0,0,0,0,1
"Pilgatan 26, vån 4",8400000,5387.0,2023-04-12,73.0,3.0,1,0,0,1,0,1,0,0,0,0
Sankt eriksgatan 41,2950000,790.0,2023-04-12,27.0,1.0,1,1,0,0,0,1,0,0,0,0
"Hälsingegatan 6, 5tr",6000000,1903.0,2023-04-12,54.0,2.0,1,0,0,0,0,0,0,0,0,1
Folkungagatan 146 A,10000000,3988.0,2023-04-12,115.0,4.0,1,0,0,1,0,0,0,0,1,0
"Kungsklippan 12, 4 tr",3600000,2905.0,2023-04-11,36.0,2.0,1,0,0,1,0,1,0,0,0,0
Runiusgatan 5,8495000,4554.0,2023-04-11,107.0,4.0,1,0,0,1,0,1,0,0,0,0
"Tomtebogatan 32, 2tr.",9150000,4606.0,2023-04-11,85.0,3.0,1,0,0,0,0,0,0,0,0,1
Hagagatan 11,7000000,3268.0,2023-04-11,69.0,3.0,1,1,0,0,0,0,0,0,0,1
"Tegelviksgatan 14, 5 tr",7725000,4748.0,2023-04-11,92.0,4.0,1,0,0,1,0,0,0,0,1,0
"Skånegatan 57A, 3tr",6400000,2431.0,2023-04-11,59.0,2.0,0,0,0,1,0,0,0,0,1,0
Robert Almströmsgatan 6,5975000,3780.0,2023-04-11,64.0,3.0,1,0,0,0,0,0,0,0,0,1
"Grindsgatan 29, 1 tr",7300000,3880.0,2023-04-11,77.0,3.0,1,0,0,0,0,0,0,0,1,0
"Västmannagatan 30A, 1 tr",6350000,2912.0,2023-04-11,59.0,2.0,0,0,0,1,0,0,0,0,0,1
"Erik Dahlbergsgatan 53, 2tr",4500000,3144.0,2023-04-11,58.0,2.0,1,0,0,1,1,0,0,0,0,0
Storgatan 30,5200000,1580.0,2023-04-11,40.0,1.0,1,0,0,1,0,0,0,1,0,0
Strandvägen 11,67000000,6409.0,2023-04-11,239.0,8.0,1,0,0,1,0,0,0,1,0,0
Melodislingan 50 - 4 tr!,4900000,3991.0,2023-04-10,41.0,2.0,1,0,0,1,0,0,0,1,0,0
"Garvargatan 7, 2 tr",7650000,2866.0,2023-04-10,83.0,3.0,1,0,0,0,0,1,0,0,0,0
Maria Bangata 2 B,5050000,2492.0,2023-04-10,46.0,2.5,0,0,0,0,0,0,0,0,1,0
"John bergs plan 4, 2 tr",3600000,1618.0,2023-04-10,38.0,1.5,1,0,0,1,0,1,0,0,0,0
"Lottens gata 6, 3 tr",4325000,2878.0,2023-04-10,45.0,2.0,1,0,0,1,0,0,0,0,1,0
Brännkyrkagatan 92A,3250000,2395.0,2023-04-10,34.0,1.5,0,0,0,0,0,0,0,0,1,0
"Tegeluddsvägen 30, 5 tr",3195000,2566.0,2023-04-09,35.0,2.0,1,0,0,1,1,0,0,0,0,0
Kungsbro Strand 21,3300000,3149.0,2023-04-08,34.0,1.0,1,0,0,1,0,1,0,0,0,0
Drottningholmsvägen 52,5075000,2659.0,2023-04-08,58.0,2.0,1,0,0,1,0,1,0,0,0,0
"Skeppargatan 67, 4 tr",7650000,4567.0,2023-04-07,77.5,3.0,1,0,0,1,0,0,0,1,0,0
"Nackagatan 21, 4 tr.",6500000,5137.0,2023-04-07,91.0,3.0,1,0,0,1,0,0,0,0,1,0
Brantingsgatan 18,7750000,3811.0,2023-04-07,70.5,3.5,1,0,0,1,1,0,0,0,0,0
"Värtavägen 59, 2 tr",2550000,1266.0,2023-04-07,24.0,1.0,0,0,0,1,1,0,0,0,0,0
"Frejgatan 36A, 2 tr",4235000,2888.0,2023-04-07,38.0,2.0,1,0,0,1,0,0,0,0,0,1
"Pontonjärgatan 45, 4 tr",6350000,4114.0,2023-04-07,64.0,2.0,1,0,0,0,0,1,0,0,0,0
"Strindbergsgatan 50, 4tr",5000000,2346.0,2023-04-07,54.0,2.0,1,0,0,0,0,0,0,1,0,0
"Erstagatan 22, 4tr",7440000,4367.0,2023-04-06,74.0,2.5,1,0,0,1,0,0,0,0,1,0
"Heleneborgsgatan 7A, 2 tr ",6250000,2872.0,2023-04-06,58.0,2.0,1,0,0,1,0,0,0,0,1,0
"Rutger Fuchsgatan 8B, 2tr",2950000,1877.0,2023-04-06,33.0,1.0,1,0,0,1,0,0,0,0,1,0
Ulriksborgsgatan 9,3520000,2319.0,2023-04-06,40.0,1.5,1,0,0,1,0,1,0,0,0,0
"Bråvallagatan 10, 2tr",7150000,2238.0,2023-04-06,67.0,3.0,0,0,0,1,0,0,0,0,0,1
Disponentgatan 1,2620000,2176.0,2023-04-06,30.0,1.0,1,0,0,0,0,1,0,0,0,0
"Furusundsgatan 15, 2 tr",3550000,2361.0,2023-04-06,37.0,1.5,1,0,0,1,1,0,0,0,0,0
"Artillerigatan 89, 4 tr",6210000,2548.0,2023-04-06,66.0,2.0,1,0,0,1,1,0,0,0,0,0
